"Municipality","Year","Air Quality Health Index","Health Risk","OriginalValue"
"Red Deer",2012,"1","High Quality",0.08876
"Fort Saskatchewan",2012,"1","High Quality",0.1423
"Edmonton",2012,"1","High Quality",0.03852
"Lethbridge",2012,"1","High Quality",0.03033
"Caroline",2012,"1","High Quality",0.14105
"Medicine Hat",2012,"1","High Quality",0.01899
"Calgary",2012,"1","High Quality",0.0221
"Grande Prairie",2012,"1","High Quality",0.10398
"Parkland County",2012,"1","High Quality",0.17247
"Fort Mackay",2012,"1","High Quality",0.34683
"Grande Prairie County No. 1",2012,"1","High Quality",0.10398
"Cold Lake",2012,"1","High Quality",0.15397
"St. Paul County No. 19",2012,"1","High Quality",0.18393
"Wood Buffalo",2012,"1","High Quality",0.26269
"Bruderheim",2012,"1","High Quality",0.14379
"Improvement District No. 13 Elk Island",2012,"1","High Quality",0.27155
"Leduc County",2012,"1","High Quality",0.33725
"Beaverlodge",2012,"1","High Quality",0.06512
"Lamont County",2012,"1","High Quality",0.1224
"Yellowhead County",2012,"1","High Quality",0.15794
"Parkland County",2012,"10+","Very Low Quality",0.00023
"Fort Mackay",2012,"10+","Very Low Quality",0.00131
"Cold Lake",2012,"10+","Very Low Quality",0.00013
"St. Paul County No. 19",2012,"10+","Very Low Quality",0.00036
"Wood Buffalo",2012,"10+","Very Low Quality",0.00063
"Red Deer",2012,"2","High Quality",0.48382
"Fort Saskatchewan",2012,"2","High Quality",0.59252
"Edmonton",2012,"2","High Quality",0.35402
"Lethbridge",2012,"2","High Quality",0.57192
"Caroline",2012,"2","High Quality",0.66128
"Medicine Hat",2012,"2","High Quality",0.51456
"Calgary",2012,"2","High Quality",0.36037
"Grande Prairie",2012,"2","High Quality",0.54622
"Parkland County",2012,"2","High Quality",0.63498
"Fort Mackay",2012,"2","High Quality",0.44632
"Grande Prairie County No. 1",2012,"2","High Quality",0.54622
"Cold Lake",2012,"2","High Quality",0.63533
"St. Paul County No. 19",2012,"2","High Quality",0.6417
"Wood Buffalo",2012,"2","High Quality",0.59251
"Bruderheim",2012,"2","High Quality",0.66715
"Improvement District No. 13 Elk Island",2012,"2","High Quality",0.63039
"Leduc County",2012,"2","High Quality",0.53805
"Beaverlodge",2012,"2","High Quality",0.67452
"Lamont County",2012,"2","High Quality",0.66658
"Yellowhead County",2012,"2","High Quality",0.53631
"Red Deer",2012,"3","High Quality",0.34147
"Fort Saskatchewan",2012,"3","High Quality",0.21664
