"years","provincial_average","x10th_percentile","x90th_percentile","calgary","edmonton","fort_mc_murray","grande_prairie","lethbridge","medicine_hat","red_deer","caaqs"
2012,6.9,4.6,9.4,10,8.7,6,6.5,NA,9.4,10.2,8.8
2013,6.4,3.6,8.6,8.1,8.7,6.4,6.3,7,NA,10.4,8.8
2014,7,4.3,9.1,8.2,9.8,8,8.2,7.1,4.8,7.1,8.8
2015,7.1,4.1,9.4,8.1,9,8.5,6.4,8.2,6.6,8.8,8.8
2016,6.6,3.9,9.7,5.2,7.3,19,6.1,4.8,4,5.7,8.8
2017,6.4,4.5,8,7.9,7.9,5.9,6.7,7.5,5.8,6.8,8.8
2018,8.9,6.6,11.6,11.2,10.2,7.6,9.9,9.3,6.9,9.5,8.8
2019,6.3,4.7,8.1,7.1,7.6,6.4,6.9,5.4,4.6,6.9,8.8
2020,5.2,4,6.7,6.3,6.2,5.5,4.9,5.3,5.2,5.2,8.8
2021,7.2,5.5,8.7,8.4,8.9,7,6.1,7,7.2,7.4,8.8
