"years","provincial_average","x10th_percentile","x90th_percentile","calgary","edmonton","fort_mc_murray","grande_prairie","lethbridge","medicine_hat","red_deer","caaqs"
2012,21.3,13.3,31.5,21.9,22.3,20.8,19.5,NA,23.4,22.3,27
2013,18.1,10.3,24,20.8,29.5,17,17.6,17.1,NA,34.5,27
2014,25.7,16.7,34.1,21.2,26,35.1,35.9,20.9,16.5,20.4,27
2015,31.9,17,48.1,28.1,23.7,40.9,20.9,42,45.5,24.5,27
2016,31.2,11.9,49.4,14.7,22.7,208.4,21,14.6,10.7,16.5,27
2017,25.8,14.9,34.9,34.6,29,15.9,26.3,44.9,29.3,29,27
2018,52,32.8,65.9,58.1,49.1,35.4,60.5,58.4,43,50.5,27
2019,21.7,15.3,28,19.2,26.2,21.5,23.8,20.8,13.7,18,27
2020,15.8,10.8,20.1,18.9,20.6,12.6,17.9,20.5,16.3,15.6,27
2021,32.9,26.2,42.4,44.2,38.4,25.9,29.7,39.5,38.2,32.8,27
