"year","cause","ranking","total_deaths","provincial_average"
2001,"Malignant neoplasms of trachea, bronchus and lung",3,1095,7.2
2002,"Malignant neoplasms of trachea, bronchus and lung",3,1224,5
2003,"Malignant neoplasms of trachea, bronchus and lung",2,1257,5.6
2004,"Malignant neoplasms of trachea, bronchus and lung",3,1284,4.9
2005,"Malignant neoplasms of trachea, bronchus and lung",2,1309,4.5
2006,"Malignant neoplasms of trachea, bronchus and lung",2,1297,5
2007,"Malignant neoplasms of trachea, bronchus and lung",2,1357,4.8
2008,"Malignant neoplasms of trachea, bronchus and lung",2,1376,4.9
2009,"Malignant neoplasms of trachea, bronchus and lung",2,1447,5.5
2010,"Malignant neoplasms of trachea, bronchus and lung",2,1431,8.2
2011,"Malignant neoplasms of trachea, bronchus and lung",2,1445,6.9
2012,"Malignant neoplasms of trachea, bronchus and lung",2,1362,6.9
2013,"Malignant neoplasms of trachea, bronchus and lung",2,1494,6.4
2014,"Malignant neoplasms of trachea, bronchus and lung",2,1499,7
2015,"Malignant neoplasms of trachea, bronchus and lung",3,1510,7.1
2016,"Malignant neoplasms of trachea, bronchus and lung",3,1547,6.6
2017,"Malignant neoplasms of trachea, bronchus and lung",3,1620,6.4
2018,"Malignant neoplasms of trachea, bronchus and lung",3,1594,8.9
2019,"Malignant neoplasms of trachea, bronchus and lung",3,1523,6.3
2020,"Malignant neoplasms of trachea, bronchus and lung",3,1563,5.2
2021,"Malignant neoplasms of trachea, bronchus and lung",5,1552,7.2
