X2020,X1.Accidental.discharge.of.firearms,M,X0,X0.1,X0.2,X0.3,X0.4,X1,X1.1,X0.5,X0.6,X0.7,X0.8,X0.9,X0.10,X0.11,X0.12,X0.13,X0.14,X0.15,X0.16,X0.17,X0.18,X2,X2.1
2020,1 Accidental discharge of firearms,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1 Accidental discharge of firearms,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1 Accidental discharge of firearms,T,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020,2 Accidental drowning and submersion,M,0,1,0,1,2,0,1,2,1,0,2,2,0,0,0,0,0,0,0,0,11,1,12
2020,2 Accidental drowning and submersion,F,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,5,1,6
2020,2 Accidental drowning and submersion,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,2 Accidental drowning and submersion,T,1,1,1,1,2,0,2,2,2,0,3,2,0,0,0,0,1,0,0,0,16,2,18
2020,3 Accidental explosion,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2020,3 Accidental explosion,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3 Accidental explosion,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3 Accidental explosion,T,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2020,4 Accidental exposure to electric current,M,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
2020,4 Accidental exposure to electric current,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4 Accidental exposure to electric current,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4 Accidental exposure to electric current,T,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
2020,"5 Accidental exposure to smoke, fire and flames",M,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,6,0,6
2020,"5 Accidental exposure to smoke, fire and flames",F,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,3
2020,"5 Accidental exposure to smoke, fire and flames",U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"5 Accidental exposure to smoke, fire and flames",T,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,1,1,0,0,0,8,1,9
2020,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,M,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,4,0,19,0,19
2020,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,F,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,3,3,5,0,17,0,17
2020,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,T,0,0,0,0,1,1,0,0,0,0,1,2,2,3,3,4,5,5,9,0,36,0,36
2020,7 Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust,M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020,7 Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7 Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7 Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust,T,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020,8 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,8 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2020,8 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,8 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,T,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2
2020,9 Accidental poisoning by and exposure to carbon monoxide from utility gas,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,9 Accidental poisoning by and exposure to carbon monoxide from utility gas,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,9 Accidental poisoning by and exposure to carbon monoxide from utility gas,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,9 Accidental poisoning by and exposure to carbon monoxide from utility gas,T,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,10 Accidental poisoning by and exposure to drugs and other biological substances,M,0,0,0,9,49,95,96,109,83,71,64,62,39,15,2,2,1,0,0,0,643,54,697
