calendar_year,cause,gender,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_40_44,age_45_49,age_50_54,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_plus,grand_total
2022,1 Accidental contact with heat and hot substances,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022,1 Accidental contact with heat and hot substances,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1 Accidental contact with heat and hot substances,T,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
2022,2 Accidental drowning and submersion,M,1,0,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,11
2022,2 Accidental drowning and submersion,F,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,8
2022,2 Accidental drowning and submersion,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2 Accidental drowning and submersion,T,1,0,1,0,1,2,1,2,0,1,2,1,0,0,0,0,0,19
2022,3 Accidental explosion,M,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3
2022,3 Accidental explosion,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3 Accidental explosion,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3 Accidental explosion,T,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3
2022,4 Accidental exposure to electric current,M,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
2022,4 Accidental exposure to electric current,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,4 Accidental exposure to electric current,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,4 Accidental exposure to electric current,T,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4
2022,"5 Accidental exposure to smoke, fire and flames",M,0,2,0,2,0,1,0,1,2,1,2,2,2,2,0,0,2,25
2022,"5 Accidental exposure to smoke, fire and flames",F,0,1,0,0,1,0,1,0,3,0,0,1,0,3,1,0,0,11
2022,"5 Accidental exposure to smoke, fire and flames",U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"5 Accidental exposure to smoke, fire and flames",T,0,3,0,2,1,1,1,1,5,1,2,3,2,5,1,0,2,36
2022,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,M,1,0,0,0,0,0,0,1,1,0,3,3,2,6,4,10,6,39
2022,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,F,0,0,0,0,0,0,0,0,1,3,0,2,3,4,2,7,8,32
2022,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,6 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,T,1,0,0,0,0,0,0,1,2,3,3,5,5,10,6,17,14,71
2022,7 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,M,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,8
2022,7 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,7 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,T,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,9
2022,8 Accidental poisoning by and exposure to carbon monoxide from utility gas,M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2022,8 Accidental poisoning by and exposure to carbon monoxide from utility gas,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,8 Accidental poisoning by and exposure to carbon monoxide from utility gas,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,8 Accidental poisoning by and exposure to carbon monoxide from utility gas,T,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2022,9 Accidental poisoning by and exposure to drugs and other biological substances,M,1,0,0,11,38,93,127,117,100,75,47,32,9,3,2,0,0,855
2022,9 Accidental poisoning by and exposure to drugs and other biological substances,F,0,0,2,16,34,44,49,45,31,29,15,4,3,1,0,1,0,345
2022,9 Accidental poisoning by and exposure to drugs and other biological substances,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,9 Accidental poisoning by and exposure to drugs and other biological substances,T,1,0,2,27,72,137,176,162,131,104,62,36,12,4,2,1,0,1200
2022,10 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,M,0,0,0,0,1,3,4,5,5,1,4,3,2,2,2,0,0,42
2022,10 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,F,0,0,0,0,0,0,2,3,2,0,0,1,0,0,0,0,0,10
2022,10 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,10 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,T,0,0,0,0,1,3,6,8,7,1,4,4,2,2,2,0,0,52
2022,11 Acute and subacute endocarditis,M,0,0,0,0,0,1,1,0,0,1,7,2,4,3,1,1,1,23
2022,11 Acute and subacute endocarditis,F,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,2,1,10
2022,11 Acute and subacute endocarditis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,11 Acute and subacute endocarditis,T,0,0,0,0,1,2,1,1,0,1,7,2,5,5,1,3,2,33
2022,12 Acute appendicitis with localized peritonitis,M,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
2022,12 Acute appendicitis with localized peritonitis,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12 Acute appendicitis with localized peritonitis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12 Acute appendicitis with localized peritonitis,T,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
2022,"13 Acute appendicitis, other and unspecified",M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,"13 Acute appendicitis, other and unspecified",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"13 Acute appendicitis, other and unspecified",U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"13 Acute appendicitis, other and unspecified",T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,14 Acute bronchitis and bronchiolitis,M,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,5
2022,14 Acute bronchitis and bronchiolitis,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,6
2022,14 Acute bronchitis and bronchiolitis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14 Acute bronchitis and bronchiolitis,T,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,3,2,11
2022,15 Acute myocardial infarction,M,0,0,0,0,0,1,3,7,12,27,85,81,109,86,106,108,97,772
2022,15 Acute myocardial infarction,F,0,0,0,0,0,0,1,2,2,5,23,26,45,55,50,84,159,468
2022,15 Acute myocardial infarction,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15 Acute myocardial infarction,T,0,0,0,0,0,1,4,9,14,32,108,107,154,141,156,192,256,1240
2022,16 Acute posthemorrhagic and other anemias,M,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6,10
2022,16 Acute posthemorrhagic and other anemias,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,12,26
2022,16 Acute posthemorrhagic and other anemias,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16 Acute posthemorrhagic and other anemias,T,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,18,36
2022,17 Acute rheumatic fever,M,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3
2022,17 Acute rheumatic fever,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
2022,17 Acute rheumatic fever,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17 Acute rheumatic fever,T,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,6
2022,18 Air and space transport accidents,M,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
2022,18 Air and space transport accidents,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18 Air and space transport accidents,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18 Air and space transport accidents,T,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
2022,19 Alcoholic liver disease,M,0,0,0,0,0,2,12,21,14,20,33,22,14,8,2,3,0,191
2022,19 Alcoholic liver disease,F,0,0,0,0,0,2,2,7,11,17,14,12,6,2,1,0,0,97
2022,19 Alcoholic liver disease,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,19 Alcoholic liver disease,T,0,0,0,0,0,4,14,28,25,37,47,34,20,10,3,3,0,288
2022,20 All other and ill-defined forms of heart disease,M,0,0,0,0,0,0,1,1,0,1,3,1,2,8,8,13,20,59
2022,20 All other and ill-defined forms of heart disease,F,1,0,0,0,0,0,0,1,0,1,3,2,4,5,6,15,30,68
2022,20 All other and ill-defined forms of heart disease,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,20 All other and ill-defined forms of heart disease,T,1,0,0,0,0,0,1,2,0,2,6,3,6,13,14,28,50,127
2022,21 All other and unspecified accidents and their sequelae,M,0,1,0,1,1,4,6,2,4,6,12,11,11,9,16,10,18,125
2022,21 All other and unspecified accidents and their sequelae,F,0,0,0,1,0,1,0,1,2,2,5,5,6,4,9,12,33,83
2022,21 All other and unspecified accidents and their sequelae,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,21 All other and unspecified accidents and their sequelae,T,0,1,0,2,1,5,6,3,6,8,17,16,17,13,25,22,51,208
2022,22 All other and unspecified events of undetermined intent and their sequelae,M,0,0,0,3,0,0,0,0,2,0,0,1,1,0,0,1,1,13
2022,22 All other and unspecified events of undetermined intent and their sequelae,F,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
2022,22 All other and unspecified events of undetermined intent and their sequelae,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,22 All other and unspecified events of undetermined intent and their sequelae,T,0,0,0,3,0,0,0,0,2,0,1,1,3,0,0,1,1,16
