X2020,Organic.dementia,X1,X2081
2020,All other forms of chronic ischemic heart disease,2,1897
2020,"Malignant neoplasms of trachea, bronchus and lung",3,1563
2020,Other ill-defined and unknown causes of mortality,4,1464
2020,Other chronic obstructive pulmonary disease,5,1178
2020,"COVID-19, virus identified",6,1084
2020,Acute myocardial infarction,7,1067
2020,Accidental poisoning by and exposure to drugs and other biological substances,8,920
2020,Diabetes mellitus,9,743
2020,"Atherosclerotic cardiovascular disease, so described",10,670
2020,"Stroke, not specified as hemorrhage or infarction",11,622
2020,Malignant neoplasm of breast,12,493
2020,Malignant neoplasms of  pancreas,13,466
2020,Malignant neoplasms of colon,14,465
2020,Malignant neoplasms of prostate,15,434
2020,Pneumonia due to other or unspecified organisms,16,408
2020,Congestive heart failure,17,387
2020,"Intentional self-harm (suicide) by hanging, strangulation and suffocation",18,327
2020,Alzheimer's disease,19,326
2020,All other diseases of nervous system,20,318
2020,All other diseases of respiratory system,21,307
2020,"Atrial fibrillation and atrial flutter, unspecified",22,282
2020,Parkinson's disease,23,279
2020,Alcoholic liver disease,24,273
2020,Non-Hodgkin's lymphoma,25,263
2020,Renal failure,26,250
2020,Intracerebral and other intracranial hemorrhage,27,246
2020,Hypertensive heart disease,28,237
2020,Fibrosis and cirrhosis of liver,29,233
2020,Vascular disorders and obstruction of intestine without hernia,30,232
