calendar_year,cause,ranking,total_deaths
2022,All other forms of chronic ischemic heart disease,2,2098
2022,Other ill-defined and unknown causes of mortality,3,1714
2022,"COVID-19, virus identified",4,1547
2022,"Malignant neoplasms of trachea, bronchus and lung",5,1523
2022,Acute myocardial infarction,6,1240
2022,Accidental poisoning by and exposure to drugs and other biological substances,7,1200
2022,Other chronic obstructive pulmonary disease,8,1183
2022,Diabetes mellitus,9,730
2022,"Stroke, not specified as hemorrhage or infarction",10,650
2022,"Atherosclerotic cardiovascular disease, so described",11,582
2022,Malignant neoplasm of breast,12,509
2022,Malignant neoplasms of  pancreas,13,488
2022,Malignant neoplasms of prostate,13,488
2022,Congestive heart failure,15,481
2022,Malignant neoplasms of colon,16,452
2022,Pneumonia due to other or unspecified organisms,17,412
2022,All other diseases of nervous system,18,407
2022,All other diseases of respiratory system,19,346
2022,Alzheimer's disease,20,335
2022,Hypertensive heart disease,21,332
2022,"Atrial fibrillation and atrial flutter, unspecified",22,319
2022,Parkinson's disease,23,315
2022,"Intentional self-harm (suicide) by hanging, strangulation and suffocation",24,293
2022,Alcoholic liver disease,25,288
2022,"Malignant neoplasm, primary site unspecified",26,285
2022,Fibrosis and cirrhosis of liver,27,283
2022,Renal failure,28,276
2022,Intracerebral and other intracranial hemorrhage,29,275
2022,Vascular disorders and obstruction of intestine without hernia,30,257
