CSDUID,CSD,Period,IndicatorSummaryDescription,Air Quality Health Index,Health Risk,UnitOfMeasure,OriginalValue
4808011,Red Deer,2011,Air Quality (percent high-quality hours),1,High Quality,,0.05019
4808011,Red Deer,2012,Air Quality (percent high-quality hours),1,High Quality,,0.08876
4808011,Red Deer,2013,Air Quality (percent high-quality hours),1,High Quality,,0.09738
4808011,Red Deer,2014,Air Quality (percent high-quality hours),1,High Quality,,0.12925
4808011,Red Deer,2015,Air Quality (percent high-quality hours),1,High Quality,,0.09625
4808011,Red Deer,2016,Air Quality (percent high-quality hours),1,High Quality,,0.27628
4808011,Red Deer,2017,Air Quality (percent high-quality hours),1,High Quality,,0.08319
4808011,Red Deer,2018,Air Quality (percent high-quality hours),1,High Quality,,0.08074
4808011,Red Deer,2019,Air Quality (percent high-quality hours),1,High Quality,,0.10511
4808011,Red Deer,2020,Air Quality (percent high-quality hours),1,High Quality,,0.12073
4808011,Red Deer,2021,Air Quality (percent high-quality hours),1,High Quality,,0.05232
4808011,Red Deer,2022,Air Quality (percent high-quality hours),1,High Quality,,0.05550
4811056,Fort Saskatchewan,2011,Air Quality (percent high-quality hours),1,High Quality,,0.11225
4811056,Fort Saskatchewan,2012,Air Quality (percent high-quality hours),1,High Quality,,0.14230
4811056,Fort Saskatchewan,2013,Air Quality (percent high-quality hours),1,High Quality,,0.22572
4811056,Fort Saskatchewan,2014,Air Quality (percent high-quality hours),1,High Quality,,0.11276
4811056,Fort Saskatchewan,2015,Air Quality (percent high-quality hours),1,High Quality,,0.16234
4811056,Fort Saskatchewan,2016,Air Quality (percent high-quality hours),1,High Quality,,0.17925
4811056,Fort Saskatchewan,2017,Air Quality (percent high-quality hours),1,High Quality,,0.09180
4811056,Fort Saskatchewan,2018,Air Quality (percent high-quality hours),1,High Quality,,0.09754
4811056,Fort Saskatchewan,2019,Air Quality (percent high-quality hours),1,High Quality,,0.14402
4811056,Fort Saskatchewan,2020,Air Quality (percent high-quality hours),1,High Quality,,0.18103
4811056,Fort Saskatchewan,2021,Air Quality (percent high-quality hours),1,High Quality,,0.05010
4811056,Fort Saskatchewan,2022,Air Quality (percent high-quality hours),1,High Quality,,0.01868
4811061,Edmonton,2011,Air Quality (percent high-quality hours),1,High Quality,,0.02911
4811061,Edmonton,2012,Air Quality (percent high-quality hours),1,High Quality,,0.03852
4811061,Edmonton,2013,Air Quality (percent high-quality hours),1,High Quality,,0.04167
4811061,Edmonton,2014,Air Quality (percent high-quality hours),1,High Quality,,0.04784
