CSDUID,CSD Name,Year,Emission Type,Indicator,Value
4801003,Cypress County,2014,CO2,Greenhouse Gas Emissions,"74,600"
4801003,Cypress County,2014,CO2 Equivalent,CO2 Eq. Emissions,"74,600"
4801003,Cypress County,2014,CH4,Greenhouse Gas Emissions,38.5778
4801003,Cypress County,2014,CH4 Equivalent,CO2 Eq. Emissions,964.445
4801003,Cypress County,2014,N2O,Greenhouse Gas Emissions,1.343
4801003,Cypress County,2014,N2O Equivalent,CO2 Eq. Emissions,400.214
4801006,Medicine Hat,2013,CO2,Greenhouse Gas Emissions,2960874.103
4801006,Medicine Hat,2013,CO2 Equivalent,CO2 Eq. Emissions,2960874.103
4801006,Medicine Hat,2013,CH4,Greenhouse Gas Emissions,1309.2287
4801006,Medicine Hat,2013,CH4 Equivalent,CO2 Eq. Emissions,32730.7175
4801006,Medicine Hat,2013,N2O,Greenhouse Gas Emissions,38.8675
4801006,Medicine Hat,2013,N2O Equivalent,CO2 Eq. Emissions,11582.515
4801006,Medicine Hat,2012,CO2,Greenhouse Gas Emissions,2831289.306
4801006,Medicine Hat,2012,CO2 Equivalent,CO2 Eq. Emissions,2831289.306
4801006,Medicine Hat,2012,CH4,Greenhouse Gas Emissions,1936.969553
4801006,Medicine Hat,2012,CH4 Equivalent,CO2 Eq. Emissions,48424.23883
4801006,Medicine Hat,2012,N2O,Greenhouse Gas Emissions,38.173938
4801006,Medicine Hat,2012,N2O Equivalent,CO2 Eq. Emissions,11375.83352
4801006,Medicine Hat,2011,CO2,Greenhouse Gas Emissions,2835382.797
4801006,Medicine Hat,2011,CO2 Equivalent,CO2 Eq. Emissions,2835382.797
4801006,Medicine Hat,2011,CH4,Greenhouse Gas Emissions,2538.991725
4801006,Medicine Hat,2011,CH4 Equivalent,CO2 Eq. Emissions,63474.79313
4801006,Medicine Hat,2011,N2O,Greenhouse Gas Emissions,151.551021
4801006,Medicine Hat,2011,N2O Equivalent,CO2 Eq. Emissions,45162.20426
4801006,Medicine Hat,2010,CO2,Greenhouse Gas Emissions,2507435.182
4801006,Medicine Hat,2010,CO2 Equivalent,CO2 Eq. Emissions,2507435.182
4801006,Medicine Hat,2010,CH4,Greenhouse Gas Emissions,2609.3292
4801006,Medicine Hat,2010,CH4 Equivalent,CO2 Eq. Emissions,65233.23
4801006,Medicine Hat,2010,N2O,Greenhouse Gas Emissions,36.7338
4801006,Medicine Hat,2010,N2O Equivalent,CO2 Eq. Emissions,10946.6724
4801006,Medicine Hat,2009,CO2,Greenhouse Gas Emissions,2251456.557
4801006,Medicine Hat,2009,CO2 Equivalent,CO2 Eq. Emissions,2251456.557
4801006,Medicine Hat,2009,CH4,Greenhouse Gas Emissions,609.6071
4801006,Medicine Hat,2009,CH4 Equivalent,CO2 Eq. Emissions,15240.1775
4801006,Medicine Hat,2009,N2O,Greenhouse Gas Emissions,30.619
4801006,Medicine Hat,2009,N2O Equivalent,CO2 Eq. Emissions,9124.462
4801006,Medicine Hat,2008,CO2,Greenhouse Gas Emissions,2472485.764
4801006,Medicine Hat,2008,CO2 Equivalent,CO2 Eq. Emissions,2472485.764
4801006,Medicine Hat,2008,CH4,Greenhouse Gas Emissions,446.5105
4801006,Medicine Hat,2008,CH4 Equivalent,CO2 Eq. Emissions,11162.7625
4801006,Medicine Hat,2008,N2O,Greenhouse Gas Emissions,31.9677
4801006,Medicine Hat,2008,N2O Equivalent,CO2 Eq. Emissions,9526.3746
4801006,Medicine Hat,2007,CO2,Greenhouse Gas Emissions,2362052.893
4801006,Medicine Hat,2007,CO2 Equivalent,CO2 Eq. Emissions,2362052.893
4801006,Medicine Hat,2007,CH4,Greenhouse Gas Emissions,440.0183
4801006,Medicine Hat,2007,CH4 Equivalent,CO2 Eq. Emissions,11000.4575
4801006,Medicine Hat,2007,N2O,Greenhouse Gas Emissions,29.7643
4801006,Medicine Hat,2007,N2O Equivalent,CO2 Eq. Emissions,8869.7614
4801006,Medicine Hat,2006,CO2,Greenhouse Gas Emissions,2416281.16
4801006,Medicine Hat,2006,CO2 Equivalent,CO2 Eq. Emissions,2416281.16
4801006,Medicine Hat,2006,CH4,Greenhouse Gas Emissions,201.83
4801006,Medicine Hat,2006,CH4 Equivalent,CO2 Eq. Emissions,5045.75
4801006,Medicine Hat,2006,N2O,Greenhouse Gas Emissions,37.64
4801006,Medicine Hat,2006,N2O Equivalent,CO2 Eq. Emissions,11216.72
4801006,Medicine Hat,2005,CO2,Greenhouse Gas Emissions,1802497.7
4801006,Medicine Hat,2005,CO2 Equivalent,CO2 Eq. Emissions,1802497.7
4801006,Medicine Hat,2005,CH4,Greenhouse Gas Emissions,183.736
4801006,Medicine Hat,2005,CH4 Equivalent,CO2 Eq. Emissions,4593.4
4801006,Medicine Hat,2005,N2O,Greenhouse Gas Emissions,28.6828
4801006,Medicine Hat,2005,N2O Equivalent,CO2 Eq. Emissions,8547.4744
4801006,Medicine Hat,2004,CO2,Greenhouse Gas Emissions,2069170.633
4801006,Medicine Hat,2004,CO2 Equivalent,CO2 Eq. Emissions,2069170.633
4801006,Medicine Hat,2004,CH4,Greenhouse Gas Emissions,1008.5105
4801006,Medicine Hat,2004,CH4 Equivalent,CO2 Eq. Emissions,25212.7625
4801006,Medicine Hat,2004,N2O,Greenhouse Gas Emissions,31.27
4801006,Medicine Hat,2004,N2O Equivalent,CO2 Eq. Emissions,9318.46
4801006,Medicine Hat,2014,CO2,Greenhouse Gas Emissions,"2,753,286"
4801006,Medicine Hat,2014,CO2 Equivalent,CO2 Eq. Emissions,"2,753,286"
4801006,Medicine Hat,2014,CH4,Greenhouse Gas Emissions,1328.9215
4801006,Medicine Hat,2014,CH4 Equivalent,CO2 Eq. Emissions,33223.0375
4801006,Medicine Hat,2014,N2O,Greenhouse Gas Emissions,38.6397
4801006,Medicine Hat,2014,N2O Equivalent,CO2 Eq. Emissions,11514.6306
4802012,Lethbridge,2013,CO2,Greenhouse Gas Emissions,520
4802012,Lethbridge,2013,CO2 Equivalent,CO2 Eq. Emissions,520
4802012,Lethbridge,2013,CH4,Greenhouse Gas Emissions,3139.03
4802012,Lethbridge,2013,CH4 Equivalent,CO2 Eq. Emissions,78475.75
4802012,Lethbridge,2013,N2O,Greenhouse Gas Emissions,0.02761
4802012,Lethbridge,2013,N2O Equivalent,CO2 Eq. Emissions,8.22778
4802012,Lethbridge,2012,CO2,Greenhouse Gas Emissions,517
4802012,Lethbridge,2012,CO2 Equivalent,CO2 Eq. Emissions,517
4802012,Lethbridge,2012,CH4,Greenhouse Gas Emissions,2608.03
4802012,Lethbridge,2012,CH4 Equivalent,CO2 Eq. Emissions,65200.75
4802012,Lethbridge,2012,N2O,Greenhouse Gas Emissions,0.04
4802012,Lethbridge,2012,N2O Equivalent,CO2 Eq. Emissions,11.92
4802012,Lethbridge,2011,CO2,Greenhouse Gas Emissions,1048
4802012,Lethbridge,2011,CO2 Equivalent,CO2 Eq. Emissions,1048
4802012,Lethbridge,2011,CH4,Greenhouse Gas Emissions,3009.03
4802012,Lethbridge,2011,CH4 Equivalent,CO2 Eq. Emissions,75225.75
4802012,Lethbridge,2011,N2O,Greenhouse Gas Emissions,0.4
4802012,Lethbridge,2011,N2O Equivalent,CO2 Eq. Emissions,119.2
4802012,Lethbridge,2010,CO2,Greenhouse Gas Emissions,51844.2092
4802012,Lethbridge,2010,CO2 Equivalent,CO2 Eq. Emissions,51844.2092
4802012,Lethbridge,2010,CH4,Greenhouse Gas Emissions,3370.0717
4802012,Lethbridge,2010,CH4 Equivalent,CO2 Eq. Emissions,84251.7925
4802012,Lethbridge,2010,N2O,Greenhouse Gas Emissions,1.2504
4802012,Lethbridge,2010,N2O Equivalent,CO2 Eq. Emissions,372.6192
4802012,Lethbridge,2014,CO2,Greenhouse Gas Emissions,520
4802012,Lethbridge,2014,CO2 Equivalent,CO2 Eq. Emissions,520
4802012,Lethbridge,2014,CH4,Greenhouse Gas Emissions,2670.03
4802012,Lethbridge,2014,CH4 Equivalent,CO2 Eq. Emissions,66750.75
4802012,Lethbridge,2014,N2O,Greenhouse Gas Emissions,0.03
4802012,Lethbridge,2014,N2O Equivalent,CO2 Eq. Emissions,8.94
4802021,"Taber, M.D.",2010,CO2,Greenhouse Gas Emissions,53973.01
4802021,"Taber, M.D.",2010,CO2 Equivalent,CO2 Eq. Emissions,53973.01
4802021,"Taber, M.D.",2010,CH4,Greenhouse Gas Emissions,188.218
4802021,"Taber, M.D.",2010,CH4 Equivalent,CO2 Eq. Emissions,4705.45
4802021,"Taber, M.D.",2010,N2O,Greenhouse Gas Emissions,6.036
4802021,"Taber, M.D.",2010,N2O Equivalent,CO2 Eq. Emissions,1798.728
4802021,"Taber, M.D.",2009,CO2,Greenhouse Gas Emissions,48214.58
4802021,"Taber, M.D.",2009,CO2 Equivalent,CO2 Eq. Emissions,48214.58
4802021,"Taber, M.D.",2009,CH4,Greenhouse Gas Emissions,190.814
4802021,"Taber, M.D.",2009,CH4 Equivalent,CO2 Eq. Emissions,4770.35
4802021,"Taber, M.D.",2009,N2O,Greenhouse Gas Emissions,5.519
4802021,"Taber, M.D.",2009,N2O Equivalent,CO2 Eq. Emissions,1644.662
4802021,"Taber, M.D.",2006,CO2,Greenhouse Gas Emissions,38572.44
