"Category","Provincial Average","10th Percentile","90th Percentile","Calgary","Edmonton","Fort McMurray","Grande Prairie","Lethbridge","Medicine Hat","Red Deer","CAAQS"
2000,17.6,13.5,23.7,22,24.9,13.7,,,,,27
2001,17.5,9.5,22.4,20.8,24,15.9,,,,20.9,27
2002,17.7,11.5,24.5,18.8,23.4,15.2,,,,15.3,27
2003,19.9,11.5,33.5,35.5,24,11.5,,,,20.9,27
2004,17.6,13.6,21.6,17.6,21.4,1.5,,14.2,15.7,13.8,27
2005,12.9,8.9,16.6,13.2,14.4,12.7,14.8,10.1,8.8,10,27
2006,14.9,11.7,18.4,18.3,17.8,14.1,16.4,12.3,9.5,14.5,27
2007,14,10.3,16.8,16.2,14.8,15.1,11.9,12,10.5,11.8,27
2008,14.3,9.8,19.9,14.5,18.6,14.9,11.5,9.8,10,11.6,27
2009,16.1,11.9,22.4,19.5,21.5,13.9,14.7,12.5,,24.3,27
2010,28,16.3,41.4,30.8,46.4,16.4,29.1,25.7,,37.5,27
2011,26.9,11.3,60.5,24,26.9,72.4,20.3,18.5,18,34.1,27
2012,21.3,13.3,31.5,21.9,22.3,20.8,19.5,,23.4,22.3,27
2013,18.1,10.3,24,20.8,29.5,17,17.6,17.1,,34.5,27
2014,25.7,16.7,34.1,21.2,26,35.1,35.9,20.9,16.5,20.4,27
2015,31.9,17,48.1,28.1,23.7,40.9,20.9,42,45.5,24.5,27
2016,31.2,11.9,49.4,14.7,22.7,208.4,21,14.6,10.7,16.5,27
2017,25.8,14.9,34.9,34.6,29,15.9,26.3,44.9,29.3,29,27
2018,52,32.8,65.9,58.1,49.1,35.4,60.5,58.4,43,50.5,27
2019,21.7,15.3,28,19.2,26.2,21.5,23.8,20.8,13.7,18,27
2020,15.8,10.8,20.1,18.9,20.6,12.6,17.9,20.5,16.3,15.6,27
2021,32.9,26.2,42.4,44.2,38.4,25.9,29.7,39.5,38.2,32.8,27
