"Category","Provincial Average","10th Percentile","90th Percentile","Calgary","Edmonton","Fort McMurray","Grande Prairie","Lethbridge","Medicine Hat","Red Deer","CAAQS"
2000,8.1,6.3,10.8,10.1,11.3,6.5,,,,,8.8
2001,7.2,3.3,9.7,9.5,10.2,6.9,,,,8.6,8.8
2002,5,2.9,6.9,6.3,6.9,4.7,,,,5.5,8.8
2003,5.6,3.2,7.7,8.1,7.3,3.6,,,,5.7,8.8
2004,4.9,3.2,6.7,6.4,6.5,4.2,,4.1,3.1,5,8.8
2005,4.5,3.3,6.5,5.5,5.4,3.6,4.6,3.3,3.1,4.5,8.8
2006,5,3.8,6.9,6.6,5.7,4.3,5.2,4,3.5,5.4,8.8
2007,4.8,3.4,7,5.7,5.3,4.6,4,3.6,3.5,4.2,8.8
2008,4.9,3.4,6.9,5.7,6,4.9,4.1,3.6,3.4,4.4,8.8
2009,5.5,3.7,8.5,9,7.9,4,4.8,3.8,,8.6,8.8
2010,8.2,4.6,14.4,11.4,14.8,4.6,10.8,7.7,,16.2,8.8
2011,6.9,3.4,10.3,10.9,9.7,8.2,8.4,6.6,7.8,13.7,8.8
2012,6.9,4.6,9.4,10,8.7,6,6.5,,9.4,10.2,8.8
2013,6.4,3.6,8.6,8.1,8.7,6.4,6.3,7,,10.4,8.8
2014,7,4.3,9.1,8.2,9.8,8,8.2,7.1,4.8,7.1,8.8
2015,7.1,4.1,9.4,8.1,9,8.5,6.4,8.2,6.6,8.8,8.8
2016,6.6,3.9,9.7,5.2,7.3,19,6.1,4.8,4,5.7,8.8
2017,6.4,4.5,8,7.9,7.9,5.9,6.7,7.5,5.8,6.8,8.8
2018,8.9,6.6,11.6,11.2,10.2,7.6,9.9,9.3,6.9,9.5,8.8
2019,6.3,4.7,8.1,7.1,7.6,6.4,6.9,5.4,4.6,6.9,8.8
2020,5.2,4,6.7,6.3,6.2,5.5,4.9,5.3,5.2,5.2,8.8
2021,7.2,5.5,8.7,8.4,8.9,7,6.1,7,7.2,7.4,8.8
